n,sum0_time,sum0_timep,sum2_time,sum2_timep,sum8_time,sum8_timep,sum_log_time,sum_log_timep
10000,31,0.031,15,0.015,7,0.007,21,0.021
20000,49,0.049,18,0.018,12,0.012,43,0.043
30000,77,0.077,31,0.031,12,0.012,57,0.057
40000,81,0.081,54,0.054,28,0.028,62,0.062
50000,73,0.073,59,0.059,19,0.019,61,0.061
60000,128,0.128,70,0.07,42,0.042,124,0.124
80000,101,0.101,47,0.047,27,0.027,110,0.11
100000,179,0.179,62,0.062,36,0.036,102,0.102
150000,187,0.187,96,0.096,52,0.052,158,0.158
200000,247,0.247,121,0.121,65,0.065,212,0.212
250000,406,0.406,163,0.163,83,0.083,333,0.333
300000,604,0.604,180,0.18,126,0.126,464,0.464
400000,768,0.768,894,0.894,441,0.441,1148,1.148
500000,2599,2.599,1107,1.107,648,0.648,1427,1.427
600000,3114,3.114,1318,1.318,735,0.735,1743,1.743
700000,3568,3.568,1500,1.5,834,0.834,2198,2.198
800000,4025,4.025,1754,1.754,928,0.928,2418,2.418
900000,4361,4.361,1948,1.948,990,0.99,2710,2.71
1000000,4907,4.907,2235,2.235,1148,1.148,2963,2.963
